epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,1077.67,1.20542,0.64282,0.85739,0.84157,0.65823,0.73767,0.41491,1.38771,0.80759,0.90029,0.000181557,0.000181557,0.000181557
111,1087.58,1.18353,0.63547,0.85142,0.8283,0.68193,0.74805,0.42341,1.38486,0.79202,0.8985,0.00017378,0.00017378,0.00017378
112,1097.36,1.18165,0.62756,0.84908,0.84565,0.67167,0.74393,0.4213,1.39302,0.81197,0.89437,0.000166149,0.000166149,0.000166149
113,1106.97,1.20653,0.6376,0.84118,0.81244,0.69743,0.74445,0.42017,1.38199,0.80828,0.89268,0.000158667,0.000158667,0.000158667
114,1116.89,1.20431,0.63637,0.84922,0.8127,0.69178,0.7458,0.42357,1.38968,0.79872,0.90167,0.000151336,0.000151336,0.000151336
115,1126.81,1.20116,0.63566,0.84465,0.81495,0.69061,0.74969,0.42389,1.38372,0.8017,0.89937,0.000144161,0.000144161,0.000144161
116,1136.54,1.18148,0.63247,0.85416,0.84206,0.67748,0.74645,0.42634,1.39094,0.79509,0.90091,0.000137143,0.000137143,0.000137143
117,1146.06,1.19393,0.62096,0.84458,0.84204,0.68114,0.74829,0.43062,1.37376,0.792,0.89704,0.000130287,0.000130287,0.000130287
118,1155.84,1.18227,0.62545,0.84373,0.82643,0.69899,0.74841,0.42628,1.37562,0.78425,0.89362,0.000123596,0.000123596,0.000123596
119,1165.88,1.1627,0.61604,0.85187,0.82084,0.68982,0.75398,0.42832,1.37136,0.79045,0.89328,0.000117072,0.000117072,0.000117072
120,1175.58,1.17113,0.61556,0.84166,0.82266,0.69534,0.74945,0.42688,1.3736,0.78795,0.89869,0.000110718,0.000110718,0.000110718
121,1185.35,1.15276,0.60839,0.83888,0.83008,0.68508,0.7515,0.42729,1.3734,0.78951,0.89431,0.000104537,0.000104537,0.000104537
122,1195.22,1.16825,0.61122,0.84278,0.83103,0.67877,0.74719,0.42715,1.37306,0.79298,0.89494,9.85311e-05,9.85311e-05,9.85311e-05
123,1205.24,1.17031,0.62226,0.84596,0.82074,0.68272,0.74485,0.42227,1.3755,0.79641,0.89051,9.2704e-05,9.2704e-05,9.2704e-05
124,1215.12,1.16009,0.61139,0.84499,0.83476,0.68181,0.7503,0.42737,1.37941,0.78779,0.89454,8.70577e-05,8.70577e-05,8.70577e-05
125,1224.78,1.17681,0.62096,0.84172,0.83785,0.68193,0.75281,0.42544,1.38629,0.79984,0.89611,8.15947e-05,8.15947e-05,8.15947e-05
126,1234.73,1.15866,0.61031,0.84526,0.82902,0.6764,0.74495,0.42449,1.37801,0.8035,0.89464,7.63174e-05,7.63174e-05,7.63174e-05
127,1244.54,1.17,0.60965,0.84539,0.82726,0.69613,0.75074,0.42567,1.37504,0.79457,0.89233,7.12282e-05,7.12282e-05,7.12282e-05
128,1254.31,1.16572,0.61839,0.84781,0.82473,0.69455,0.75144,0.42825,1.37936,0.79273,0.89695,6.63292e-05,6.63292e-05,6.63292e-05
129,1264.1,1.15569,0.60756,0.84138,0.82862,0.68508,0.75157,0.43062,1.37879,0.7831,0.89713,6.16227e-05,6.16227e-05,6.16227e-05
130,1273.85,1.15142,0.60532,0.83513,0.82939,0.68824,0.75147,0.43129,1.37374,0.78362,0.89538,5.71106e-05,5.71106e-05,5.71106e-05
131,1283.73,1.14851,0.60676,0.84306,0.82587,0.68508,0.75116,0.42519,1.37177,0.78538,0.89282,5.2795e-05,5.2795e-05,5.2795e-05
132,1293.42,1.14037,0.59904,0.83663,0.83294,0.6914,0.75917,0.43066,1.37768,0.78734,0.89286,4.86777e-05,4.86777e-05,4.86777e-05
133,1303.07,1.13808,0.59525,0.83637,0.83946,0.68923,0.75928,0.43313,1.36975,0.78654,0.89116,4.47606e-05,4.47606e-05,4.47606e-05
